road,Destination
Gachibowli / Miyapur Rd,Dell Bus Stop
Botanical Garden Rd,Dell Bus Stop
Gachibowli Rd/Old Mumbai Hwy,Dell Bus Stop
Bhagyanagar Colony Main Rd and Kukatpally Housing Board / Hitech City Rd,Dell Bus Stop
DLF Rd and Mindspace Rd,Dell Bus Stop
Gachibowli Rd/Old Mumbai Hwy and Hitech City Main Rd,Dell Bus Stop
Inorbit Mall Rd,Dell Bus Stop
Hitech City Main Rd,Dell Bus Stop
Biodiversity Flyover / I and Hitech City Main Rd,Dell Bus Stop
Nehru Outer Ring Rd,Dell Bus Stop
Inorbit Mall Rd,Dell Bus Stop
Khajaguda / Nanakramguda Rd,Dell Bus Stop
Gachibowli Rd/Old Mumbai Hwy and Hitech City Main Rd,Dell Bus Stop
Hitech City Main Rd,Dell Bus Stop
Hitech City Rd and Hitech City Main Rd,Dell Bus Stop
Kukatpally Housing Board / Hitech City Rd,Dell Bus Stop
100 Feet Rd and Hitech City Rd,Dell Bus Stop
Hitex Road,Dell Bus Stop
Gachibowli / Miyapur Rd,Kothaguda X Road
Botanical Garden Rd and Gachibowli / Miyapur Rd,Kothaguda X Road
Gachibowli Rd/Old Mumbai Hwy/Professor CR Rao Rd and Gachibowli / Miyapur Rd,Kothaguda X Road
Bhagyanagar Colony Main Rd,Kothaguda X Road
DLF Rd and Gachibowli / Miyapur Rd,Kothaguda X Road
Gachibowli / Miyapur Rd,Kothaguda X Road
Madhapur Rd,Kothaguda X Road
Hitech City Main Rd,Kothaguda X Road
Hitech City Main Rd,Kothaguda X Road
Nehru Outer Ring Rd,Kothaguda X Road
Inorbit Mall Rd,Kothaguda X Road
Gachibowli / Miyapur Rd,Kothaguda X Road
Gachibowli / Miyapur Rd,Kothaguda X Road
Hitech City Rd and Hitex Road,Kothaguda X Road
Hitech City Rd,Kothaguda X Road
Kukatpally Housing Board Rd,Kothaguda X Road
100 Feet Rd and Hitech City Rd,Kothaguda X Road
Gachibowli / Miyapur Rd,Kothaguda X Road
Gachibowli / Miyapur Rd,Kothaguda X Road
Gachibowli / Miyapur Rd,Platina Bus Stop
Botanical Garden Rd,Platina Bus Stop
Gachibowli Rd/Old Mumbai Hwy/Professor CR Rao Rd and DLF Rd,Platina Bus Stop
Hitech City Rd,Platina Bus Stop
DLF Rd,Platina Bus Stop
Gachibowli Rd/Old Mumbai Hwy and Gachibowli / Miyapur Rd,Platina Bus Stop
Madhapur Rd and Hitech City Rd,Platina Bus Stop
Gachibowli Rd/Old Mumbai Hwy and Gachibowli / Miyapur Rd,Platina Bus Stop
Gachibowli Rd/Old Mumbai Hwy and Gachibowli / Miyapur Rd,Platina Bus Stop
Nehru Outer Ring Rd,Platina Bus Stop
Mindspace Rd,Platina Bus Stop
Khajaguda / Nanakramguda Rd and Nehru Outer Ring Rd,Platina Bus Stop
Gachibowli / Miyapur Rd,Platina Bus Stop
Hitech City Rd and Gachibowli / Miyapur Rd,Platina Bus Stop
